Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code,Set Destination Trip
UberX,completed,2022-08-12T19:57:51.000Z,2022-08-12T20:11:35.000Z,2022-08-12T20:16:03.000Z,0.835438963,268,1.87,7.25,0,USD,FALSE
UberX,completed,2022-08-12T19:25:42.000Z,2022-08-12T19:35:20.000Z,2022-08-12T20:03:58.000Z,14.09027864556769,1718,1.87,31.81,0,USD,FALSE
UberX,completed,2022-08-12T18:39:52.000Z,2022-08-12T18:49:24.000Z,2022-08-12T19:28:01.000Z,18.30802800244374,2317,1.87,50.34,0,USD,FALSE
UberX,completed,2022-08-12T17:16:34.000Z,2022-08-12T17:32:43.000Z,2022-08-12T18:00:21.000Z,16.69026698045056,1658,1.87,31.87,0,USD,FALSE
UberX,completed,2022-08-12T17:06:15.000Z,2022-08-12T17:16:39.000Z,2022-08-12T17:21:47.000Z,1.706196595,308,1.87,6.47,0,USD,FALSE
UberX,completed,2022-08-12T16:41:31.000Z,2022-08-12T16:53:36.000Z,2022-08-12T17:10:47.000Z,6.042107042,1031,1.87,16.66,0,USD,FALSE
UberX,completed,2022-08-12T16:27:23.000Z,2022-08-12T16:39:38.000Z,2022-08-12T16:51:23.000Z,2.088234674,705,1.87,8.74,0,USD,FALSE
UberX,completed,2022-08-12T15:36:08.000Z,2022-08-12T15:48:06.000Z,2022-08-12T16:34:05.000Z,11.51126794902877,2759,1.87,29.05,0,USD,FALSE
UberX,completed,2022-08-12T15:24:04.000Z,2022-08-12T15:31:37.000Z,2022-08-12T15:43:35.000Z,4.759041431,718,1.87,11.73,0,USD,FALSE
UberX,completed,2022-08-12T14:58:27.000Z,2022-08-12T15:05:21.000Z,2022-08-12T15:25:12.000Z,15.29846300085443,1191,1.87,37.57,0,USD,FALSE
UberX,completed,2022-08-11T18:29:47.000Z,2022-08-11T18:33:37.000Z,2022-08-11T19:20:09.000Z,25.47965247069065,2792,1.87,50.75,0,USD,FALSE
UberX,completed,2022-08-11T17:22:56.000Z,2022-08-11T17:38:29.000Z,2022-08-11T18:29:17.000Z,15.12733346713261,3048,1.87,44.92,0,USD,FALSE
